Date,Value_x,Value_y,Value
201712,19390604000000.0,19607598000000.0,32120702650000.0
201612,18624475000000.0,18968714000000.0,27352200720000.0
201512,18120714000000.0,18581144000000.0,25067539600000.0
201412,17427609000000.0,17892074000000.0,26330589190000.0
201312,16691517000000.0,17073716000000.0,24034853520000.0
201212,16155255000000.0,16596084000000.0,18668333210000.0
201112,15517926000000.0,15802898000000.0,15640707040000.0
201012,14964372000000.0,15121133000000.0,17283451680000.0
200912,14418739000000.0,14494460000000.0,15077285740000.0
200812,14718582000000.0,14791194000000.0,11590277780000.0
200712,14477635000000.0,14585723000000.0,19922279820000.0
200612,13855888000000.0,14140770000000.0,19568972500000.0
200512,13093726000000.0,13221776000000.0,17000864470000.0
200412,12274928000000.0,12372645000000.0,16323726330000.0
200312,11510670000000.0,11591408000000.0,14266265650000.0
200212,10977514000000.0,11098891000000.0,11054430000000.0
200112,10621824000000.0,10788612000000.0,13983666000000.0
200012,10284779000000.0,10421259000000.0,15107751000000.0
199912,9660624000000.0,9725260000000.0,14777387400000.0
199812,9089168000000.0,9167551000000.0,12922580000000.0
199712,8608515000000.0,8620325000000.0,10770143000000.0
199612,8100201000000.0,8075414000000.0,8480497000000.0
199512,7664060000000.0,7602259000000.0,6952026000000.0
199412,7308755000000.0,7195801000000.0,5137739860000.0
199312,6878718000000.0,6758382000000.0,5251079630000.0
199212,6539299000000.0,6459473000000.0,4545844000000.0
199112,6174043000000.0,6117250000000.0,4159595200000.0
199012,5979589000000.0,5922924000000.0,3093448500000.0
198912,5657693000000.0,5618304000000.0,3382233600000.0
198812,5252629000000.0,5275759000000.0,2779940700000.0
198712,4870217000000.0,4847150000000.0,2531767700000.0
198612,4590155000000.0,4530366000000.0,2537942200000.0
198512,4346734000000.0,4320842000000.0,2300857900000.0
198412,4040693000000.0,4038321000000.0,1602159700000.0
198312,3638137000000.0,3621060000000.0,1809034400000.0
198212,3344991000000.0,3374728000000.0,1456865200000.0
198112,3210956000000.0,3207178000000.0,1263560700000.0
198012,2862505000000.0,2852759000000.0,1359797800000.0
197912,2632143000000.0,2619286000000.0,993590900000.0
197812,2356571000000.0,2355002000000.0,861961000000.0
197712,2085951000000.0,2086987000000.0,834238000000.0
197612,1877587000000.0,1873976000000.0,883100000000.0
197512,1688923000000.0,1688685000000.0,703800000000.0
197412,1548825000000.0,1556937000000.0,
197312,1428549000000.0,1435060000000.0,
197212,1282449000000.0,1283873000000.0,
197112,1167770000000.0,1165881000000.0,
197012,1075884000000.0,1076932000000.0,
196912,1019900000000.0,1026000000000.0,
196812,942500000000.0,948600000000.0,
196712,861700000000.0,867100000000.0,
196612,815000000000.0,820100000000.0,
196512,743700000000.0,749000000000.0,
196412,685800000000.0,690700000000.0,
196312,638600000000.0,643100000000.0,
196212,605100000000.0,609200000000.0,
196112,563300000000.0,566800000000.0,
196012,543300000000.0,546400000000.0,
